Model Name,File,Domain,Equation Count,Differential Equation Count,Algebraic Equation Count,ODE count,PDE count,State variable count,Algebraic Variable Count,Total Variable Count,Actual Variable Count
stress_parent,models_cellml/cardiovascular_circulation/stress_parent.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,4,2
guyton_thirst_drinking_and_salt_appetite_2008,models_cellml/cardiovascular_circulation/guyton_thirst_drinking_and_salt_appetite_2008.cellml,cardiovascular_circulation,10,1,9,1,0,0,0,37,21
thirst_parent,models_cellml/cardiovascular_circulation/thirst_parent.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,8,4
lpc,models_cellml/cardiovascular_circulation/lpc.cellml,cardiovascular_circulation,133,31,102,31,0,0,0,237,237
circ_pbpk,models_cellml/cardiovascular_circulation/circ_pbpk.cellml,cardiovascular_circulation,135,44,91,44,0,0,0,365,227
MainIVad,models_cellml/cardiovascular_circulation/MainIVad.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,20,9
ModelMain,models_cellml/cardiovascular_circulation/ModelMain.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,21,9
MainWestkessel,models_cellml/cardiovascular_circulation/MainWestkessel.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,11,5
MainSystemic,models_cellml/cardiovascular_circulation/MainSystemic.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,11,5
shaw_chase_starfinger_smith_hann_desaive_ghuysen_2007,models_cellml/cardiovascular_circulation/shaw_chase_starfinger_smith_hann_desaive_ghuysen_2007.cellml,cardiovascular_circulation,27,6,21,6,0,0,0,120,68
MainDVad,models_cellml/cardiovascular_circulation/MainDVad.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,16,7
smith_chase_nokes_shaw_wake_2004,models_cellml/cardiovascular_circulation/smith_chase_nokes_shaw_wake_2004.cellml,cardiovascular_circulation,32,10,22,10,0,0,0,170,76
aguda_b_1999,models_cellml/cell_cycle/aguda_b_1999.cellml,cell_cycle,49,15,34,15,0,0,0,237,91
aguda_tang_1999,models_cellml/cell_cycle/aguda_tang_1999.cellml,cell_cycle,33,11,22,11,0,0,0,171,66
barberis_klipp_vanoni_alberghina_2007,models_cellml/cell_cycle/barberis_klipp_vanoni_alberghina_2007.cellml,cell_cycle,36,34,2,34,0,0,0,329,91
calzone_thieffry_tyson_novak_2007,models_cellml/cell_cycle/calzone_thieffry_tyson_novak_2007.cellml,cell_cycle,21,17,4,17,0,0,0,255,64
chen_calzone_csikasznagy_cross_novak_tyson_2004,models_cellml/cell_cycle/chen_calzone_csikasznagy_cross_novak_tyson_2004.cellml,cell_cycle,66,36,30,36,0,0,0,644,203
chen_csikasz-nagy_gyorffy_val_novak_tyson_2000,models_cellml/cell_cycle/chen_csikasz-nagy_gyorffy_val_novak_tyson_2000.cellml,cell_cycle,28,13,15,13,0,0,0,183,100
ciliberto_novak_tyson_2003,models_cellml/cell_cycle/ciliberto_novak_tyson_2003.cellml,cell_cycle,28,19,9,19,0,0,0,292,98
ciliberto_petrus_tyson_sible_2003,models_cellml/cell_cycle/ciliberto_petrus_tyson_sible_2003.cellml,cell_cycle,19,13,6,13,0,0,0,186,43
ciliberto_tyson_2000,models_cellml/cell_cycle/ciliberto_tyson_2000.cellml,cell_cycle,18,7,11,7,0,0,0,94,51
